OrderID,OrderDate,Region,SalesRep,Product,Category,Quantity,UnitPrice,UnitCost,Discount,CustomerSegment
1063,2025-04-09,S,Aya Hassan,LAPTOP PRO 15,Hardware,2,"$ 1,299",820,0.12,Consumer
1095,10-Jun-2025,N ,Sam Okafor,Wireles Mouse,Accessories,3,39,33,2%,Consumer
1012,"January 22, 2025",Western ,  Priya Shah,Wireles Mouse,Accessories,30,$ 39,33,34%,Enterprise
1029,"February 21, 2025",east ,DANA LOPEZ,Security Lic,Software, 1 ,$ 99,8,9,Consumer
1028,2025-02-01,Souh,  AYA HASSAN,Laptop Air 13,Hardware,1,USD 999,640,11,Consumer
1066,"May 11, 2025",south ,TOM REILLY,USB C Cable,Accessories,2,$ 19,17,22%,smb
1064,05/17/25,West,  Priya Shah,USB C Cable,Accessories,18,$ 19,17,32,Enterprise
1045,03/22/25,south ,Tom Reilly,usb-c cable,Accessories, 2 ,USD 19,17,14%,Consumer 
1055,04/26/25,Western ,Marcus Bell,Laptop Sleeve,Accessories,1,$29.00,26,0.34,Consumer
1067,05/11/2025,east ,Dana Lopez,Wireless Mouse,Accessories, 17 ,$39.00,33,23,Enterprise
1062,04/22/25, West,  Marcus Bell,Wireles Mouse,Accessories,7,$39.00,33,0.4,SMB
1003,2025-01-18,W,Marcus Bell,Office Suite Lic,Software,3,149,15,0.39,Consumer
1054,04/27/2025,E,Dana Lopez,Laptop Air 13,Hardware,12,$ 999,640,0.21,Enterprise
1078,"May 18, 2025",EAST,Wei Chen,Webcam HD,Accessories,24,59.00,50,0.2,Enterprise
1023,2025-02-12,south ,  Tom Reilly,Security Lic,Software, 5 ,$99.00,8,0.13,SMB
1001,01/04/2025,east ,Dana Lopez,wireless mouse,Accessories, 1 ,39,33,0.09,Consumer
1103,06/06/25,E,Wei Chen,USB-C Cable,Accessories,2,19.00,17,17,Consumer
1004,25-Jan-2025,E,Wei Chen,Security Lic,Software,8,99.00,8,20%,SMB
1030,"March 09, 2025",Western ,Marcus Bell,Laptop Pro15,Hardware,2,"1,299.00",820,40,SMB
1090,"June 14, 2025",east ,Wei Chen,Laptop Sleeve,Accessories,8,29,26,21%,SMB
1068,05/13/25,East,Wei Chen,Office Suite Lic,Software,1,149.00,15,12,Consumer
1081,05/08/2025,W,  PRIYA SHAH,USB-C Cable,Accessories, 10 ,$ 19,17,28%,Enterprise
1086,22-Jun-2025,east ,Wei Chen,Laptop Sleeve,Accessories, 2 ,$29.00,26,15,
1025,"February 16, 2025",W,Priya Shah,Laptop Air 13,Hardware, 12 ,USD 999,640,28%,Enterprise
1021,2025-02-28,S,Aya Hassan,Office Suite Lic,Software, 3 ,$ 149,15,0.19,Consumer
1076,23-May-2025,Western ,Marcus Bell,Laptop Sleeve,Accessories,1,USD 29,26,41,Consumer
6051,"April 28, 2025",north,Sam Okafor,Wireless Mouse,Accessories,0,39,33,12,Enterprise
1083,05/19/2025,East,Dana Lopez,Docking Station,Hardware, 5 ,189,120,20%,
1075,05/23/25,east ,  Wei Chen,Webcam HD,Accessories, 3 ,USD 59,50,12,SMB
1046,04/19/2025,East,Wei Chen,USB C Cable,Accessories,1,19.00,17,0.13,Consumer
1053,04/14/2025,east ,Wei Chen,Monitor 27 4K,Hardware,22,449.00,300,22,Enterprise
1015,"February 09, 2025",E,WEI CHEN,Monitor 27 4K,Hardware,3,$449.00,300,0.14,Consumer
1082,05/18/2025,EAST,Dana Lopez,Docking Station,Hardware,2,189.00,120,12%,Consumer
1042,03/03/25,South,Tom Reilly,Laptop Pro 15,Hardware,10,"$ 1,299",820,0.27,Enterprise
1041,2025-03-17,East,Dana Lopez,USB-C Cable,Accessories,1,$ 19,17,14%,Consumer
1097,06/20/2025,South,Tom Reilly,Laptop Air 13,Hardware,17,999.00,640,27%,Enterprise
1027,"February 15, 2025",Souh,Tom Reilly,Wireless Mouse,Accessories,7,39,33,0.19,SMB
1008,"January 03, 2025", West,Priya Shah,Security Lic,Software, 6 ,$ 99,8,24%,SMB
1049,"April 05, 2025", North,SAM OKAFOR,Office Suite Lic,Software,7,$149.00,15,6%,SMB
1024,2025-02-03,,Aya Hassan,Docking Station,Hardware,1,USD 189,120,19,CONSUMER
6060,15-Apr-2025,east ,Dana Lopez,Webcam HD,Accessories,-5,$59.00,50,16%,Consumer
1031,03/19/2025,N ,  Sam Okafor,Office Suite Lic,Software,3,USD 149,15,9,Consumer
1085,08-Jun-2025,,  Priya Shah,Laptop Sleeve,Accessories, 25 ,$ 29,26,0.37,enterprise
1092,2025-06-01, West,  Marcus Bell,Laptop Pro15,Hardware, 1 ,"$ 1,299",820,0.33,Consumer
1032,2025-03-22,EAST,Dana Lopez,Webcam HD,Accessories,3,$59.00,50,12%,SMB
1035,03/06/25,Western ,MARCUS BELL,Docking Station,Hardware, 22 ,$189.00,120,0.4,Enterprise
1077,05/26/25,East,Dana Lopez,Office Suite Lic,Software,1,USD 149,15,13%,Consumer
1060,"April 15, 2025",East,DANA LOPEZ,Webcam HD,Accessories, 1 ,$59.00,50,0.16,Consumer
1022,2025-02-25,E,Dana Lopez,Monitor 27 4K,Hardware,8,USD 449,300,0.13,SMB
1038,03/13/25,West,  Priya Shah,Laptop Pro15,Hardware,2,USD 1299,820,0.18,Consumer
1020,02/24/2025,EAST,DANA LOPEZ,Wireless Mouse,Accessories, 3 ,USD 39,33,16,SMB
1084,"June 12, 2025",S,  Tom Reilly,Security Lic,Software,5,USD 99,8,0.13,SMB
1057,08-Apr-2025, West,  Priya Shah,Security Lic,Software,12,99,8,0.39,Enterprise
1074,2025-05-21,N/A,  Priya Shah,Security Lic,Software, 2 ,$ 99,8,24,Consumer
1011,2025-01-08,north,Sam Okafor,Security Lic,Software, 13 ,$ 99,8,14,Enterprise
1087,18-Jun-2025, North,Ines Vidal,Monitor 27 4K,Hardware,3,449.00,300,13%,SMB
1040,02-Mar-2025,east ,Wei Chen,Monitor 27 4K,Hardware,2,449.00,300,10,Consumer
1021,2025-02-28,S,Aya Hassan,Office Suite Lic,Software, 3 ,$ 149,15,0.19,Consumer
1009,2025-01-13, West,MARCUS BELL,Wireless Mouse,Accessories,1,$ 39,33,42%,Consumer
1033,"March 22, 2025",E,WEI CHEN,Laptop Sleeve,Accessories,8,29,26,0.18,SMB
1088,21-Jun-2025,Western ,  Priya Shah,Security Lic,Software, 29 ,USD 99,8,0.26,Enterprise
1039,"March 26, 2025",W,Priya Shah,Wireles Mouse,Accessories,7,$39.00,33,0.34,SMB
1091,12-Jun-2025,,Marcus Bell,Webcam HD,Accessories, 3 ,USD 59,50,38%,Consumer
1059,04/04/2025,north,  Ines Vidal,Docking Station,Hardware, 3 ,$189.00,120,0.11,SMB
1061,04/11/2025,West,Marcus Bell,Docking Station,Hardware,3,USD 189,120,0.33,Consumer
1043,03/20/25,EAST,DANA LOPEZ,Laptop Sleeve,Accessories, 3 ,29,26,10%,Consumer
1098,2025-06-03, North,Sam Okafor,USB-C Cable,Accessories,21,USD 19,17,15%,Enterprise
1005,"January 25, 2025",north,Ines Vidal,usb-c cable,Accessories,3,$19.00,17,7,SMB
1070,21-May-2025,W,Priya Shah,Docking Station,Hardware, 8 ,USD 189,120,0.29,SMB
1100,2025-06-21,Souh,Aya Hassan,Monitor 27 4K,Hardware,3,$ 449,300,0.2,SMB
1089,"June 07, 2025",EAST,Wei Chen,Monitor 27 4K,Hardware, 2 ,$449.00,300,12%,Consumer
1099,06/14/25,East,Wei Chen,Laptop Pro 15,Hardware, 8 ,"$1,299.00",820,16,SMB
1066,"May 11, 2025",south ,TOM REILLY,USB C Cable,Accessories,2,$ 19,17,22%,smb
1026,02/07/2025,South,  Tom Reilly,wireless mouse,Accessories,27,$39.00,33,0.22,Enterprise
1019,25-Feb-2025,Western ,Marcus Bell,Laptop Air 13,Hardware, 25 ,USD 999,640,0.45,Enterprise
1105,2025-06-14,Souh,  Tom Reilly,Office Suite Lic,Software, 1 ,$ 149,15,12,Consumer
1096,06/23/25,EAST,Wei Chen,Laptop Sleeve,Accessories,14,$ 29,26,17%,Enterprise 
1044,"March 11, 2025",N/A,  Marcus Bell,Laptop Sleeve,Accessories,26,$29.00,26,45%,Enterprise
1048,2025-04-18,South,Tom Reilly,usb-c cable,Accessories, 3 ,19.00,17,0.17,SMB
1051,04/28/25, North,Sam Okafor,wireless mouse,Accessories, 23 ,39.00,33,12%,Enterprise
1013,01/03/2025,Western ,Marcus Bell,Docking Station,Hardware,2,189.00,120,36%,Consumer 
1017,02/26/25,EAST,Dana Lopez,Laptop Pro15,Hardware,1,"1,299.00",820,0.14,Consumer
1016,02/05/25,North,Ines Vidal,Security Lic,Software, 4 ,USD 99,8,7%,
1079,"May 27, 2025",East,DANA LOPEZ,Webcam HD,Accessories,4,59,50,0.19,SMB
1080,05/10/25,east ,Wei Chen,Docking Station,Hardware,5,USD 189,120,12%,SMB
1036,18-Mar-2025,West,MARCUS BELL,Laptop Air 13,Hardware,8,999,640,0.45,SMB
1093,"June 07, 2025",East,Dana Lopez,Monitor 27 4K,Hardware,7,$449.00,300,0.12,SMB
1058,04/11/2025,South,  Tom Reilly,Laptop Sleeve,Accessories,1,USD 29,26,0.17,Consumer
1065,17-May-2025,W,  MARCUS BELL,wireless mouse,Accessories,3,$39.00,33,36,Consumer
1050,04/07/25,West,Marcus Bell,Office Suite Lic,Software,2,149.00,15,34%,Consumer
1010,"January 09, 2025",west,  Priya Shah,Monitor 27 4K,Hardware,4,449,300,24,SMB
6007,13-Jan-2025,Western ,Marcus Bell,Webcam HD,Accessories,9999,$ 59,50,0.45,Enterprise
1071,05/26/25, West,PRIYA SHAH,Webcam HD,Accessories,14,USD 59,50,33,Enterprise
1101,06/09/2025,west,Priya Shah,Webcam HD,Accessories,8,$59.00,50,31,SMB
1025,"February 16, 2025",W,Priya Shah,Laptop Air 13,Hardware, 12 ,USD 999,640,28%,Enterprise
1072,2025-05-20,South,Tom Reilly,Laptop Air 13,Hardware,6,$999.00,640,20,SMB
1073,05/02/25,N/A,Marcus Bell,Wireles Mouse,Accessories,1,$ 39,33,0.32,Consumer
1007,2025-01-13, West,MARCUS BELL,Webcam HD,Accessories,11,$ 59,50,0.45,Enterprise
1102,15-Jun-2025,west,Marcus Bell,Laptop Air 13,Hardware, 5 ,999,640,0.36,SMB
1006,01/20/2025,Western ,Marcus Bell,Laptop Sleeve,Accessories, 2 ,USD 29,26,42%,Consumer
1104,06/23/2025,E,WEI CHEN,wireless mouse,Accessories, 4 ,USD 39,33,0.2,SMB
1052,05-Apr-2025, West,Priya Shah,wireless mouse,Accessories,1,39.00,33,0.23,Consumer
1098,2025-06-03, North,Sam Okafor,USB-C Cable,Accessories,21,USD 19,17,15%,Enterprise
1047,04/12/25,South,  Tom Reilly,Office Suite Lic,Software,3,USD 149,15,13%,Consumer
1094,24-Jun-2025,East,Wei Chen,USB C Cable,Accessories,3,19.00,17,14%,Consumer
1034,28-Mar-2025,N ,Sam Okafor,Laptop Pro 15,Hardware,7,"1,299.00",820,8%,SMB
1018,"February 17, 2025", North,  Sam Okafor,Laptop Sleeve,Accessories,6,29,26,13%,
1056,"April 04, 2025",Souh,TOM REILLY,USB-C Cable,Accessories, 3 ,19.00,17,0.12,Consumer
1014,01/21/2025,west,Priya Shah,Docking Station,Hardware, 23 ,189.00,120,0.32,Enterprise 
1064,05/17/25,West,  Priya Shah,USB C Cable,Accessories,18,$ 19,17,32,Enterprise
1002,01/07/25,north,Sam Okafor,Security Lic,Software, 2 ,99.00,8,0.05,SMB
1069,05/27/2025,N ,Sam Okafor,Security Lic,Software,17,USD 99,8,13,Enterprise
1037,"March 16, 2025",West,Marcus Bell,Laptop Air 13,Hardware,1,999.00,640,0.36,Consumer
